meal_name,meal_type,serving_size,calories,protein_g,fat_g,carbs_g,tags
Poha,breakfast,1 bowl (150g),250,5,8,35,"vegetarian,light,quick,breakfast,maharashtrian"
Upma,breakfast,1 bowl (150g),220,6,7,30,"vegetarian,light,quick,breakfast,south-indian"
Vada Pav,snack,1 pav with batata vada,300,4,15,35,"vegetarian,street-food,snack,maharashtrian"
Rajma Chawal,lunch,1 bowl,350,12,10,45,"vegetarian,high-protein,staple,north-indian"
Chole Bhature,lunch,1 plate,450,10,20,50,"vegetarian,heavy,staple,north-indian"
Dal Tadka,dinner,1 bowl,300,10,8,40,"vegetarian,high-protein,staple,north-indian"
Khichdi,dinner,1 bowl,280,8,7,38,"vegetarian,light,staple,north-indian"
Paneer Tikka,dinner,1 plate,320,15,18,20,"vegetarian,high-protein,tandoori,north-indian"
Idli Sambar,breakfast,2 idlis + 1 bowl sambar,230,8,5,30,"vegetarian,light,breakfast,south-indian"
Dhokla,snack,1 plate,200,6,5,28,"vegetarian,snack,light,gujarati"
Bhel Puri,snack,1 plate,250,4,8,35,"vegetarian,snack,street-food"
Samosa,snack,2 pieces,300,5,20,25,"vegetarian,snack,street-food,north-indian"
Maggi,snack,1 bowl,330,6,13,40,"vegetarian,snack,instant-food"
Fruit Salad,snack,1 large bowl,180,2,1,40,"vegetarian,snack,light"
Sprouts Salad,snack,1 bowl,220,12,4,30,"vegetarian,snack,high-protein"
Aloo Paratha,breakfast,2 pieces,350,8,15,40,"vegetarian,heavy,breakfast,north-indian"
Pani Puri,snack,1 plate,240,3,10,30,"vegetarian,snack,street-food"
Masala Dosa,breakfast,1 dosa + potato filling (200g),350,8,12,50,"vegetarian,breakfast,south-indian,street-food"
Pesarattu,breakfast,1 dosa (150g),250,12,6,35,"vegetarian,breakfast,high-protein,south-indian"
Misal Pav,breakfast,1 plate (200g),400,12,15,50,"vegetarian,breakfast,maharashtrian,spicy"
Thepla,breakfast,3 pieces (150g),300,8,10,45,"vegetarian,breakfast,gujarati,light"
Pongal,breakfast,1 bowl (200g),280,8,9,40,"vegetarian,breakfast,south-indian,light"
Baingan Bharta,lunch,1 bowl (150g),180,5,8,20,"vegetarian,lunch,north-indian,light"
Palak Paneer,lunch,1 bowl (200g),320,14,18,20,"vegetarian,lunch,high-protein,north-indian"
Bhindi Masala,lunch,1 bowl (150g),200,4,10,25,"vegetarian,lunch,north-indian,light"
Fish Curry,lunch,1 bowl (200g),300,20,15,15,"non-vegetarian,lunch,coastal,high-protein"
Chicken Biryani,lunch,1 plate (250g),450,22,18,50,"non-vegetarian,lunch,hyderabadi,spicy"
Mutton Rogan Josh,dinner,1 bowl (200g),500,25,30,20,"non-vegetarian,dinner,north-indian,rich"
