Symptom,Possible Causes,Remedies,Foods to Avoid,Tips / General Medicine,Screen Time Link,Sleep Cycle Link,Preferred Indian Meal,Severity Level,Time to Relief,Home Remedy Option
Headache,"Dehydration, Stress, Eye strain, Migraine","Drink water, Rest in dark room, Cold compress","Excess caffeine, Processed meats, Alcohol","Maintain hydration, Manage stress, OTC paracetamol if needed","Prolonged screen use can cause digital eye strain and tension headaches","Irregular sleep increases headache frequency and intensity","Vegetable khichdi with cucumber raita","Mild","1–3 hours","Drink lemon water with a pinch of salt"
Sore Throat,"Viral infection, Bacterial infection, Allergies","Warm salt water gargle, Honey-lemon tea","Cold drinks, Spicy fried foods","Rest voice, Stay hydrated, Lozenges for relief","Not directly caused by screen time but worsened by mouth breathing in dry, air-conditioned rooms","Poor sleep weakens immunity, increasing infection risk","Moong dal soup with soft phulka","Mild","1–2 days","Sip warm turmeric milk"
Fever,"Viral/bacterial infection, Inflammation","Rest, Drink fluids, Sponge bath","Oily/junk food, Sugary drinks","Monitor temperature, Paracetamol if >101°F, See doctor if persistent","Excessive late-night screen time can delay recovery by reducing rest","Poor sleep slows immune response and prolongs illness","Steamed rice with lightly spiced lauki curry","Moderate","2–4 days","Drink tulsi-ginger tea"
Indigestion,"Overeating, Fatty foods, Stress","Ginger tea, Light meals, Walk after eating","Fried foods, Carbonated drinks","Eat smaller meals, Avoid lying down after eating, Antacids if needed","Screen snacking leads to overeating and poor digestion","Late-night eating due to screen use disrupts digestion","Plain curd rice with boiled carrots","Mild","6–12 hours","Drink ajwain (carom seed) water"
Constipation,"Low fiber diet, Dehydration, Inactivity","Increase fiber, Drink warm water, Light exercise","Processed foods, Dairy (excess)","Regular meals, Prune juice, Mild laxatives if needed","Sedentary screen habits reduce bowel movement frequency","Irregular sleep disrupts digestive rhythm","Oats porridge with flax seeds and papaya","Mild","1–3 days","Eat soaked black raisins in the morning"
Eye Strain,"Screen overuse, Poor lighting","20-20-20 rule, Eye drops","Excess screen time","Adjust lighting, Take breaks","Directly caused by long, unbroken screen sessions","Poor sleep reduces eye lubrication and recovery","Palak dal with brown rice","Mild","Few hours","Splash cold water on eyes"
Fatigue,"Anemia, Poor sleep, Stress","Balanced diet, Hydration, Rest","Excess caffeine, Junk food","Regular sleep schedule, Check vitamin levels","Long screen hours cause mental fatigue and posture strain","Sleep deprivation is a primary cause of daytime fatigue","Vegetable upma with coconut chutney","Mild","1–2 days","Drink lemon-honey water"
Anxiety,"Stress, Overthinking","Deep breathing, Exercise","Caffeine, Alcohol","Mindfulness, Therapy if needed","Social media overuse increases anxiety triggers","Poor sleep worsens anxiety symptoms","Masoor dal with steamed red rice","Mild","Varies","Practice 4-7-8 breathing"
Back Pain,"Muscle strain, Poor posture","Warm compress, Gentle stretching","Heavy lifting, Prolonged sitting","Maintain posture, Light exercise","Slouching during device use strains spine","Poor sleep posture worsens back pain","Bajra roti with methi aloo sabzi","Moderate","2–5 days","Apply warm sesame oil to affected area"
Acne,"Hormonal changes, Oily skin","Gentle cleansing, Aloe vera","Oily/junk food, Dairy","Keep skin clean, Avoid touching face","Stress from excessive screen time may worsen acne","Poor sleep increases inflammation and breakouts","Lauki chana dal curry with chapati","Mild","1–2 weeks","Apply sandalwood paste on affected area"
Cold,"Viral infection","Warm fluids, Rest","Cold drinks, Fried food","Steam inhalation, Vitamin C","Late-night screen use delays recovery","Poor sleep weakens immunity","Tomato rasam with steamed rice","Mild","3–5 days","Drink warm tulsi tea"
Allergies,"Dust, Pollen, Food triggers","Antihistamines, Avoid triggers","Known allergens","Keep surroundings clean","Screens in dusty environments worsen symptoms","Poor sleep increases allergic response","Steamed idli with coconut chutney","Mild","1–3 days","Inhale steam with eucalyptus oil"
Toothache,"Cavity, Infection","Salt water rinse, Clove oil","Sugary foods","Dental check-up","Not directly linked","Poor sleep increases pain perception","Soft khichdi with moong dal","Mild","1–2 days","Apply clove oil to affected tooth"
Ear Pain,"Infection, Wax buildup","Warm compress, Avoid poking","Cold water exposure","See doctor if persistent","Headphones at high volume may worsen ear issues","Poor sleep slows healing","Vegetable daliya","Mild","1–3 days","Use warm sesame oil drops (if no perforation)"
Skin Rash,"Allergy, Infection","Aloe vera, Calamine lotion","Irritants, Harsh soaps","Keep skin clean","Heat from devices may irritate skin","Poor sleep slows skin repair","Bottle gourd curry with chapati","Mild","2–5 days","Apply aloe vera gel"
Heartburn,"Acid reflux, Spicy food","Antacids, Small meals","Spicy food, Citrus","Avoid lying down after eating","Late-night snacking during screen use worsens reflux","Irregular sleep disrupts digestion","Steamed rice with curd and cucumber salad","Mild","Few hours","Drink cold milk"
Shortness of Breath (Mild),"Asthma, Anxiety","Breathing exercises","Smoke, Dust","Seek medical help if severe","Sedentary screen habits reduce lung capacity","Poor sleep worsens breathlessness","Light vegetable soup with soft roti","Mild","Few hours","Practice pursed-lip breathing"
Swelling (Edema),"Injury, Fluid retention","Elevate limb, Cold compress","Salty foods","Monitor for persistent swelling","Prolonged sitting during screen use worsens swelling","Poor sleep affects circulation","Steamed lauki with moong dal and rice","Mild","1–3 days","Soak feet in warm water with salt"
Weakness,"Anemia, Dehydration","Hydration, Balanced diet","Junk food","Check blood tests","Screen overuse may delay meals and hydration","Poor sleep reduces energy levels","Spinach dal with chapati","Mild","1–3 days","Drink lemon water with honey"
Sunburn,"UV exposure","Aloe vera gel, Cool compress","Hot showers, Harsh soaps","Use sunscreen, Stay hydrated","Not directly linked","Poor sleep slows skin healing","Curd rice with coriander chutney","Mild","2–4 days","Apply cold curd on affected area"
Cold Hands/Feet,"Poor circulation, Anemia","Warm clothing, Massage","Cold exposure","Check iron levels","Prolonged sitting during screen use reduces circulation","Poor sleep affects circulation","Ragi porridge with jaggery","Mild","1–3 days","Drink warm ginger water"
Dark Circles,"Lack of sleep, Stress","Cold compress, Adequate rest","Excess caffeine, Junk food","Maintain sleep schedule","Late-night screen use delays bedtime","Directly caused by insufficient sleep","Masoor dal with spinach and roti","Mild","1–2 weeks","Apply chilled cucumber slices"
Neck Pain,"Poor posture, Muscle strain, Cervical spondylosis","Neck stretches, Warm compress","Heavy lifting, Prolonged static posture","Maintain ergonomic setup, Gentle exercise","Forward head posture from prolonged screen use is a major cause","Poor sleep posture worsens neck stiffness","Vegetable upma with coconut chutney","Mild","2–5 days","Apply warm mustard oil"
Shoulder Pain,"Muscle strain, Frozen shoulder, Injury","Gentle stretching, Warm compress","Heavy bags, Overhead lifting","Maintain posture, Avoid overuse","Hunching over devices strains shoulder muscles","Poor sleep position increases pain","Moong dal khichdi with lauki curry","Mild","2–5 days","Apply warm sesame oil"
Wrist Pain,"Repetitive strain injury, Carpal tunnel syndrome","Wrist stretches, Ergonomic keyboard/mouse","Heavy lifting, Repetitive strain","Use wrist support, Take breaks","Typing and swiping for long hours can cause strain","Poor sleep delays tissue recovery","Vegetable poha with curd","Mild","2–5 days","Soak hands in warm water"
Thumb Pain,"Texting thumb, Arthritis","Rest, Ice pack","Repetitive gripping, Heavy lifting","Use voice input, Stretch fingers","Excessive phone texting/gaming causes overuse injury","Poor sleep slows healing","Soft idli with sambar","Mild","1–3 days","Massage with warm coconut oil"
Low Immunity,"Poor diet, Chronic stress, Lack of sleep","Balanced diet, Regular exercise, Vitamin C intake","Junk food, Excess sugar","Include immunity-boosting foods like citrus, amla, turmeric","Prolonged screen time reduces outdoor activity and vitamin D exposure","Poor sleep weakens immune response","Amla juice with vegetable upma","Mild","1–2 weeks","Drink warm amla-turmeric water"
Dry Skin,"Dehydration, Harsh soaps, Nutrient deficiency","Moisturize, Drink water, Use mild soap","Hot showers, Excess caffeine","Use coconut oil or aloe vera gel","Screen time in air-conditioned rooms increases dryness","Poor sleep slows skin repair","Ragi malt with banana","Mild","3–5 days","Apply coconut oil before bath"
Cracked Lips,"Dehydration, Cold weather, Vitamin deficiency","Lip balm, Hydration","Salty snacks, Citrus","Avoid licking lips","Screen time in dry environments worsens chapping","Poor sleep slows healing","Warm milk with jaggery and soft idli","Mild","1–3 days","Apply ghee on lips before bed"
Puffy Eyes,"Allergies, Fluid retention, Lack of sleep","Cold compress, Reduce salt intake","Salty foods, Alcohol","Stay hydrated, Sleep well","Late-night screen use worsens puffiness","Directly caused by insufficient sleep","Steamed idli with coconut chutney","Mild","1–3 days","Apply chilled green tea bags"
Irritable Bowel Syndrome (IBS),"Stress, Certain foods","Low-FODMAP diet, Stress management","Beans, Cabbage, Fried foods","Eat small, frequent meals","Stress from excessive screen time may trigger IBS","Poor sleep worsens gut sensitivity","Plain khichdi with bottle gourd","Mild","Varies","Drink peppermint tea"
Low Appetite,"Illness, Stress, Nutrient deficiency","Small frequent meals, Herbal teas","Greasy food, Sugary drinks","Include mild spices to stimulate appetite","Screen distraction may delay eating","Poor sleep reduces hunger signals","Moong dal khichdi with ghee","Mild","1–3 days","Drink jeera water before meals"
